Assessment centre,operated by,Website,Phone number,Marked accessible by ODS,In GTA?,Assigned,Status,Contact email,Contact phone,Questions,Wheelchair-accessible entrance,Portable ramp at entrance,Automatic doors,Wheelchair-accessible bathrooms,Disability-sensitivity training,Information available in braille or audio,Personalized or individual service is offered,Accessible parking,Queue accomodations
Toronto Western Hospital,UHN - Toronto Western Hospital,https://www.uhn.ca/Covid19,416-603-5809 ext. 6110,,Yes,Philip,Covered Big IDeA features + queuing,patientrelations@uhn.ca,Toronto Western Hospital general inquiries line: 416 603 2581,,Yes,No,Yes -- Security guard assists people,Yes,Yes,No,No,"Not on site, but we are right beside TWH, where there is accessible parking.  There is also a drop off circle driveway within 50 feet of the entrance.","the TWH CAC is currently operated on a first come, first serve basis. There is often a line, which can be up to one hour. We do not offer accommodated access outside of the queue. If someone is unable to wait in line, they are to speak to the security guard, who will arrange to hold the next place in line, and the person can wait at the benches or elsewhere."
St. Joseph's Health Centre,Unity - St. Joseph's Health Centre (SJHC),https://unityhealth.to/patients-and-families/coronavirus-information-for-patients-and-families/,416-530-6720,,Yes,Philip,Sent email through their contact form,https://unityhealth.to/contact/,"St. Joseph's: 416-530-6000, ",,,,,,,,,,
St Michael's Hospital,Unity - St Michael's Hospital (SMH),https://unityhealth.to/patients-and-families/coronavirus-information-for-patients-and-families/,416-864-5800,,Yes,Philip,Sent email through their contact form,https://unityhealth.to/contact/,St. Michael’s: 416-360-4000,,,,,,,,,,
Womens College Hospital,Womens College Hospital,https://www.womenscollegehospital.ca/patients-and-caregivers/coronavirus-(covid-19)-information-for-patients-and-visitors/,,,Yes,Philip,Sent email,info@wchospital.ca,"Assessment Centre information information line at: 416-800-1945, hospital switchboard: 416-323-6400",,,,,,,,,,
Milton District Hospital,Halton Healthcare Services - Milton,https://www.haltonhealthcare.on.ca/,905-203-7963,,Yes,Philip,Sent email,pr@haltonhealthcare.on.ca,905-878-2383,,,,,,,,,,
Oakville Trafalgar Memorial Hospital,Halton Healthcare Services - Oakville,https://www.haltonhealthcare.on.ca/,905-203-7963,,Yes,Philip,Sent email,pr@haltonhealthcare.on.ca,905-845-2571,,,,,,,,,,
Georgetown Hospital,Halton Healthcare Services - Georgetown,https://www.haltonhealthcare.on.ca/,905-203-7963,,No,Philip,Sent email,pr@haltonhealthcare.on.ca,905-873-0111,,,,,,,,,,
MacKenzie Health,MacKenzie Health,https://www.mackenziehealth.ca/en/about-us/get-the-latest-information-on-covid-19.aspx,905-883-1212 ext. 2004,,Yes,Philip,Sent email,patientrelations@mackenziehealth.ca,Richmond Hill: 905-883-1212 (there is a second assessment centre without a phone number associated),,,,,,,,,,
Southlake Regional Health Centre,Southlake Regional Health Centre,https://southlake.ca/covid-19/#assessment-centre,905-895-4521,,Yes,Philip,Sent email,"Kathryn Perrier, manager of corporate communications: kperrier@southlakeregional.org",Main hospital phone: 905-895-4521,,,,,,,,,,
Credit Valley – Drive-Thru,Trillium Health Partners,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,,Yes,Yes,Philip,Covered Big IDeA features + queuing,Patient.Relations@thp.ca,Credit Valley hospital: (905) 813-2200 ,,Yes,No,Yes,Yes,Yes,No,No (Except language line for interpretation),Yes,It is possible to reserve time slots
Credit Valley Hospital – Valley House,Trillium Health Partners - Credit Valley Hospital,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,,,Yes,Philip,Covered Big IDeA features + queuing,Patient.Relations@thp.ca,Credit Valley hospital: (905) 813-2200 ,,No,No,No,No,Yes,No,No (Except language line for interpretation),Yes,No
Trillium Health Partners - Clinical Administrative Building,Trillium Health Partners - Clin Admin Bldg,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,,,No,Philip,Covered Big IDeA features + queuing,Patient.Relations@thp.ca,Missisauga hospital: (905) 848-7100,,Yes,No,Yes,Yes,Yes,No,No (Except language line for interpretation),Yes,No
William Osler Health System - Humber,William Osler Health System - Etobicoke,https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/assessment-centre-for-covid-19,,Yes,Yes,Philip,"Drive-through centre, by appointment only",https://www.williamoslerhs.ca/about-osler/contact-us/contact-us,Hospital's main line: 905/416-494-2120.,,,,,,,,,,
"William Osler Health System - South Fletcher's Sportsplex, Brampton",William Osler Health System,https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/assessment-centre-for-covid-19,,,Yes,Philip,"Drive-through centre, by appointment only",https://www.williamoslerhs.ca/about-osler/contact-us/contact-us,Hospital's main line: 905/416-494-2120.,,,,,,,,,,
Lakeridge Health - Oshawa,Lakeridge Health,covidswab.lh.ca,,,Yes,Philip,Collected hospital contact info,,"Lakeridge Health, Oshawa hospital: 905-576-8711",,,,,,,,,,
Lakeridge Health - Ajax Pickering,Lakeridge Health,covidswab.lh.ca,,,Yes,Philip,Collected hospital contact info,,"Lakeridge Health, Ajax Pickering Hospital: 905-683-2320",,,,,,,,,,
Kirkland and District Hospital,Kirkland Lake Hospital,,705-568-2127,Yes,No,Philip,"Drive-through centre, by appointment only",,,,,,,,,,,,
Collingwood Health Centre,Georgian Bay Family Health Team and Collingwood General & Marine Hospital,www.gbfht.ca/cac,705-444-5885,Yes,No,Philip,Sent email,info@gbfht.ca,Collingwood Health Centre: 705-444-5885,,,,,,,,,,
Chigamik Community Health Centre,Georgian Bay General Hospital,http://gbgh.on.ca/covid-19-self-assessment-tool/,705-529-1025,,No,Philip,Collected hospital contact info,,"Georgian Bay General Hospital, Midland site: 705-526-1300",,,,,,,,,,
Headwaters Health Care Centre,Headwaters Health Care Centre,https://www.wdgpublichealth.ca/your-health/covid-19-information-public/assessment-centres-wdg,519-822-2715 ext. 7006,Yes,No,Philip,Sent email through contact form,,,,,,,,,,,,
Markham Stouffville Hospital,Markham Stouffville Hospital,https://www.msh.on.ca/about-us/covid-19-information-page#assessment,,,No,Philip,Covered Big IDeA features + queuing,myhospital@msh.on.ca,Markham site: 905-472-7373,,No,Yes,Tent,Accessible portable washrooms,Yes,Audio by phone,Yes,Yes,Yes
Bracebridge Rotary Centre,Muskoka Algonquin Healthcare,https://www.mahc.ca/en/services/covid19.aspx#,1-888-383-7009,,No,Philip,Marked inactive,,,,,,,,,,,,
Huntsville District Memorial Hospital,Muskoka Algonquin Healthcare,https://www.mahc.ca/en/services/covid19.aspx#,1-888-383-7009,,No,Philip,Marked inactive,,,,,,,,,,,,
Muskoka COVID-19 Assessment Centre,Muskoka Algonquin Healthcare,https://www.mahc.ca/en/services/muskoka-assessment-centre.aspx,,,No,Philip,Sent email,info@mahc.ca,,,,,,,,,,,
Orillia Soldiers' Memorial Hospital,Orillia Soldiers' Memorial Hospital,https://www.osmh.on.ca/covid-19/,705-325-2201,Yes,No,Philip,Sent email,administration@osmh.on.ca,,,,,,,,,,,
Barrie Community Health Centre,Royal Victoria Regional Health Centre,https://www.rvh.on.ca/SitePages/coronavirus.aspx,,,No,Philip,Sent email," Donna Danyluk, Communications Representative: danylukd@rvh.on.ca"," Donna Danyluk, Communications Representative: 705-728-9090 Ext 41610",,,,,,,,,,
Stevenson Memorial Hospital,Stevenson Memorial Hospital,http://www.stevensonhospital.ca/news/index.html?id=265,705-435-6281,Yes,No,Philip,Sent email,communications@smhosp.on.ca,,,,,,,,,,,
Almonte General Hospital,Almonte General Hospital,http://www.almontegeneral.com/assessmentcentre,613-325-1208,Yes,No,Philip,Sent email,info@agh-fvm.com,,,,,,,,,,,
Brockville General Hospital,Brockville General Hospital,https://www.brockvillegeneralhospital.ca/en/patient-care/covid-19-coronavirus.aspx#,613-704-1441,,No,Philip,Sent email through contact form,https://www.brockvillegeneralhospital.ca/Modules/contact/search.aspx?s=c9iBl64zWIM6BBwLPlUspoPlQeQuAleQuAl&_mid_=19201,,,,,,,,,,,
Brewer Park Arena,The Ottawa Hospital and CHEO,https://www.ottawapublichealth.ca/en/public-health-topics/novel-coronavirus.aspx,,,No,Philip,Sent email through contact form,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx#Are-the-clinics-accessible-to-people-in-wheelchairs,,Should we track care centres as well as assessment centres?,,,,,,,,,
Cornwall COVID-19 Assessment Centre,Cornwall Community Hospital,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,613-935-7762,,No,Philip,,,,,,,,,,,,,
Akausivik Inuit Family Health Team - COVID-19 Assessment Centre,Akausivik Inuit Family Health Team Assessment Centre provides culturally specific services for Inuit (please call first),https://eohu.ca/en/covid-19-novel-coronavirus,613-740-0999,,No,Philip,Sent email through contact form,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx#Are-the-clinics-accessible-to-people-in-wheelchairs,,,,,,,,,,,
Haliburton Highlands Health Services,Haliburton Highlands Health Services,https://www.haliburtoncares.ca/,"705-457-1212, ext. 6",,No,Philip,,,,,,,,,,,,,
Hawkesbury and District General Hospital  - Children Rehab Clinic,Hawkesbury and District General Hospital,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,1-800-267-7120,,No,Phillip,,,,,,,,,,,,,
Casselman COVID-19 Assessment Centre,Eastern Ontario Health Unit - Casselman office,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,1-800-267-7120,Yes,No,,,,,,,,,,,,,,
Rockland COVID-19 Assessment Centre,Clarence-Rockland Family Health Team Office,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,1-800-267-7120,,No,,,,,,,,,,,,,,
Hôpital Montfort - St. Patrick's Intermediate School,Hôpital Montfort,https://hopitalmontfort.com/en/second-covid-19-care-clinic-opening-ottawa-east-thursday,613-746-4621,,No,,,,,,,,,,,,,,
Kingston Memorial Centre,Kingston Health Sciences Centre,https://www.kflaph.ca/Modules/News/index.aspx?newsId=ac53feb2-35a4-4a09-bd86-dd7c62755eaa,613-549-1232,,No,,,,,,,,,,,,,,
Lennox and Addington County General Hospital,Lennox and Addington County General Hospital,http://web.lacgh.napanee.on.ca/en/newsroom?newsid=84,613-354-8254,,No,,,,,,,,,,,,,,
Akwesasne COVID-19 Assessment Centre,Mohawk Council of Akwesasne Department of Health,http://www.akwesasne.ca/covid-19-novel-coronavirus-information/,613-575-5005 ext. 3704 or 613-575-2331 ext. 3702,Yes,No,,,,,,,,,,,,,,
North Hastings COVID-19 Assessment Center,Quinte Healthcare Corporation,,613-332-2825 ext 2222,Yes,No,,,,,,,,,,,,,,
Perth and Smiths Falls District Hospital - Smiths Falls Site,Perth and Smiths Falls District Hospital,https://psfdh.on.ca/2020/04/03/community-assessment-centre/,613-283-2330 ext. 1401,,No,,,,,,,,,,,,,,
Prince Edward Community Centre,Prince Edward Covid-19 Assessment Centre,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,613-813-6864,Yes,No,,,,,,,,,,,,,,
Queensway Carlton Hospital - D. Aubrey Moodie School,Queensway Carlton Hospital,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx,,,No,,,,,,,,,,,,,,
Quinte Healthcare - Quinte Secondary School,Quinte Healthcare,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,613-961-5544,Yes,No,,,,,,,,,,,,,,
Quinte West COVID-19 Assessment Centre,Quinte Healthcare,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,613-961-5544,Yes,No,,,,,,,,,,,,,,
Cobden Arena,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,No,,,,,,,,,,,,,,
Civic Centre,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,No,,,,,,,,,,,,,,
Pembroke Assessment Centre,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,No,,,,,,,,,,,,,,
Deep River Arena,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,No,,,,,,,,,,,,,,
Nick Smith Centre / Renfrew County Virtual Triage and Assessment Centre,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,No,,,,,,,,,,,,,,
Eganville Community Arena,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,No,,,,,,,,,,,,,,
Ma-te-way Park,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,No,,,,,,,,,,,,,,
Paul J Yakabuski Community Centre / Renfrew County Virtual Triage and Assessment Centre,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,No,,,,,,,,,,,,,,
Lindsay Fairgrounds,Ross Memorial Hospital,https://www.rmh.org/covid-19,705-328-6217,Yes,No,,,,,,,,,,,,,,
Trent Hills COVID19 Assessment Centre,Trent Hills Family Health Team + Northumberland County Ambulance & Paramedic Services,https://www.thfht.com/wp-content/uploads/2020/05/PRESS-RELEASE-May-25-2020-AC-Final.pdf,705-395-1801,,No,,,,,,,,,,,,,,
Winchester COVID-19 Assessment Centre,Lions Club Hall,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,1-800-267-7120,,No,,,,,,,,,,,,,,
Kinsmen Civic Centre,Peterborough Public Health,https://www.peterboroughpublichealth.ca/your-health/diseases-infections-immunization/diseases-and-infections/novel-coronavirus-2019-ncov/#tested,705-743-1000,Yes,No,,,,,,,,,,,,,,
COVID-19 Assessment Centre at PRHC,Peterborough Regional Health Centre,https://www.prhc.on.ca/articles/default-category/207/covid-19-assessment-centre-at-prhc-now-available-by-calling-directly,705-876-5086,,No,,,,,,,,,,,,,,
Northumberland Hills Hospital,Northumberland Hills Hospital,,905-377-7783,,No,,,,,,,,,,,,,,
Atikokan Family Health Team,Atikokan Family Health Team,https://atikokanfht.com/,807-597-8781 ext 0,,No,,,,,,,,,,,,,,
Hearst COVID-19 Assessment Centre,Nord-Aski Family Health Team,http://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-362-5544,,No,,,,,,,,,,,,,,
Chapleau Health Services,Chapleau Health Services,https://www.sschs.ca/general/home.html,705-864-2568,,No,,,,,,,,,,,,,,
NEOMO Medical,NEOMO Medical,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,705-671-7373,Yes,No,,,,,,,,,,,,,,
Primacy Medical Centre,Primacy Medical Centre,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,705-671-7373,Yes,No,,,,,,,,,,,,,,
Health Sciences North - HSNRI Assessment Centre,Health Sciences North,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,705-671-7373,Yes,No,,,,,,,,,,,,,,
Dingwall Medical Clinic Building,Dingwall Medical Clinic Building,http://www.drhc.on.ca/dryden-regional-health-centre-opens/,1-807-223-3737,,No,,,,,,,,,,,,,,
Elliot Lake Family Health Team,Elliot Lake Family Health Team,http://www.elfht.com/,705-461-8882,,No,,,,,,,,,,,,,,
Englehart District Hospital,Englehart District Hospital,http://www.timiskaminghu.com/90484/covid-19,705-568-2127,Yes,No,,,,,,,,,,,,,,
Espanola & Area COVID Mobile Assessment Centre,Espanola Regional Hospital and Health Centre,http://www.espanolaregionalhospital.ca/covid-19,705-869-1420 ext. 4500,,No,,,,,,,,,,,,,,
Geraldton District Hospital / Greenstone Family Health Team Northern Horizon Health Centre,Geraldton District Hospital,http://www.geraldtondh.com/hospital-triage-area---covid-19,807-854-0224,Yes,No,,,,,,,,,,,,,,
Hornepayne Community Hospital,Hornepayne Community Hospital,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,807-868-2442,,No,,,,,,,,,,,,,,
Michipicoten Memorial Community Centre,Lady Dunn Health Centre,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-856-2244 ext. 244,,No,,,,,,,,,,,,,,
Lake of the Woods District Hospital,Lake of the Woods District Hospital,http://www.lwdh.on.ca/,1-807-468-9861 ext 2483,,No,,,,,,,,,,,,,,
Community Health Services Building,LaVerendrye General Hospital and  Riverside Health Care,https://www.riversidehealthcare.ca/,1-807-274-3261 ext 4913,Yes,No,,,,,,,,,,,,,,
Manitoulin Health Centre,Manitoulin Health Centre,http://www.mhc.on.ca/covid-19,705-368-2300,,No,,,,,,,,,,,,,,
Manitoulin Health Centre,Manitoulin Health Centre,http://www.mhc.on.ca/covid-19,705-368-2300,,No,,,,,,,,,,,,,,
Mattawa Hospital,Mattawa Hospital,https://www.mattawahealth.ca/News/mattawa-assessment-centre,705-744-5511 ext 0,,No,,,,,,,,,,,,,,
Anson General Hospital site,MICs Group - Anson General Hospital site,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,1-888-962-8718,,No,,,,,,,,,,,,,,
The Lady Minto Hospital/Boy Scout Hall,MICs Group - The Lady Minto Hospital/Boy Scout Hall,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,1-888-962-8718,,No,,,,,,,,,,,,,,
Nipigon District Memorial Hospital,Nipigon District Memorial Hospital,https://www.tbdhu.com/coronavirus,807-887-5252,,No,,,,,,,,,,,,,,
North Bay Regional Health Centre,North Bay Regional Health Centre,,705-474-8600 ext 4110,,No,,,,,,,,,,,,,,
North of Superior Health Group - Marathon (Wilson site),North of Superior Health Group - Marathon (Wilson site),https://www.tbdhu.com/coronavirus,807-625-5900 or 1-888-294-6630,,No,,,,,,,,,,,,,,
North Shore Health Network - Blind River,North Shore Health Network - Blind River,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-356-2265 ext. 2661,,No,,,,,,,,,,,,,,
North Shore Health Network - Thessalon,North Shore Health Network - Thessalon,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-356-2265 ext. 2662,,No,,,,,,,,,,,,,,
Rainy River Health Centre,Rainy River Health Centre,https://www.riversidehealthcare.ca/,1-807-274-3261 ext. 4913,,No,,,,,,,,,,,,,,
Under Red Lake Pharmacy,Red Lake Hospital,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,1-807-727-7035,,No,,,,,,,,,,,,,,
Santé Manitouwadge Health,Santé Manitouwadge Health,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,807-826-3251 ext 221,,No,,,,,,,,,,,,,,
Sault Area Hospital / Kal Tire,Sault Area Hospital,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-759-3434 ext 7152,,No,,,,,,,,,,,,,,
Sensenbrenner Hospital / Le Centre des Loisirs,Sensenbrenner Hospital,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-367-4613,,No,,,,,,,,,,,,,,
Meno Ya Win Health Centre,Sioux Lookout Meno Ya Win Health Centre,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,1-807-737-5880,,No,,,,,,,,,,,,,,
Smooth Rock Falls Hospital,Smooth Rock Falls Hospital,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-338-2788,,No,,,,,,,,,,,,,,
Superior North EMS Community Paramedicine Program,Superior North EMS,https://www.tbdhu.com/coronavirus,807-625-5900,Yes,No,,,,,,,,,,,,,,
Temiskaming Hospital,Temiskaming Hospital,,705-648-1844,Yes,No,,,,,,,,,,,,,,
Thunder Bay Assessment Centre,Thunder Bay Regional Health Sciences Centre,https://www.tbdhu.com/coronavirus,807-625-5900,,No,,,,,,,,,,,,,,
CMHA Cochrane-Temiskaming,Timmins and District Hospital,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-267-1993,,No,,,,,,,,,,,,,,
"Weeneebayko General Hospital, Moose Factory",Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,1-877-658-9242,,No,,,,,,,,,,,,,,
Fort Albany Hospital,Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,,No,,,,,,,,,,,,,,
Attawapiskat Hospital,Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,,No,,,,,,,,,,,,,,
Moosonee Health Centre,Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,,No,,,,,,,,,,,,,,
Kashechewan Health Services,Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,,No,,,,,,,,,,,,,,
Peawanuck Nursing Station,Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,,No,,,,,,,,,,,,,,
West Nipissing General Hospital,West Nipissing General Hospital,https://www.myhealthunit.ca/en/health-topics/coronavirus.asp,705-580-2186,,No,,,,,,,,,,,,,,
West Parry Sound Health Centre,West Parry Sound Health Centre,https://www.myhealthunit.ca/en/health-topics/coronavirus.asp,705-746-4540 ext 5030,,No,,,,,,,,,,,,,,
"North of Superior Health Group - McCausland, Terrace Bay ","North of Superior Health Group - McCausland, Terrace Bay ",,807-825-3235,,No,,,,,,,,,,,,,,
Twin Bridges Nurse Practitioner Clinic,Bluewater Health Sarnia,https://lambtonpublichealth.ca/2019-novel-coronavirus/testing-criteria/,226-776-9030,,No,,,,,,,,,,,,,,
Brant Community Healthcare System,Brant Community Healthcare System,,519-751-5818,,No,,,,,,,,,,,,,,
Cambridge Assessment Centre,Cambridge Memorial Hospital,,519-621-2333 ext 2689,,No,,,,,,,,,,,,,,
Chatham-Kent Health Alliance,Chatham-Kent Health Alliance,,519-352-6400 ext. 6548,,No,,,,,,,,,,,,,,
Erie Shores Healthcare,Erie Shores Healthcare,,519-326-2373 ext 4263,,No,,,,,,,,,,,,,,
Goderich Columbus Banquet Hall,Goderich Assessment Centre,https://www.hpph.ca/en/news/coronavirus-covid19-update.aspx#Testing-tracing-and-results-for-COVID-19,1-888-221-2133 ext. 3267,,No,,,,,,,,,,,,,,
Grand River Hospital COVID-19 Testing Centre,Grand River Hospital,https://www.smgh.ca/covid-19-testing-available-for-k-w-residents-with-symptoms-starting-may-16/,519-749-4300 ext 6824,,No,,,,,,,,,,,,,,
Grand River Hospital - Drive Thru COVID-19 Assessment Center,Grand River Hospital - Drive Thru COVID-19 Assessment Center,,,Yes,No,,,,,,,,,,,,,,
Grey Bruce Health Services - Owen Sound,Grey Bruce Health Services - Owen Sound,https://www.sbghc.on.ca/coronavirus/assessment-centres,519-378-1466,,No,,,,,,,,,,,,,,
Guelph General Hospital / Victoria Road Recreation Centre,Guelph General Hospital,https://www.wdgpublichealth.ca/your-health/covid-19-information-public/assessment-centres-wdg,,,No,Philip,Sent email through contact form,,,,,,,,,,,,
Dave Andreychuk Mountain Arena Assessment Centre,Hamilton Family Health Team,https://www.hamilton.ca/coronavirus/assessment-centres,905-974-9848,Yes,No,,,,,,,,,,,,,,
Hamilton Health Sciences,Hamilton Health Sciences,https://www.hamilton.ca/coronavirus/assessment-centres,905-974-9848,,No,,,,,,,,,,,,,,
Hanover and District Hospital,Hanover and District Hospital,https://www.sbghc.on.ca/coronavirus/assessment-centres,,Yes,No,,,,,,,,,,,,,,
Joseph Brant Hospital,Joseph Brant Hospital,https://www.halton.ca/For-Residents/New-Coronavirus#03,"905-632-3737, ext. 6550",,No,,,,,,,,,,,,,,
Listowel Wingham Hospitals Alliance,Listowel Wingham Hospitals Alliance,https://lwha.ca/covid-19-up-to-date-information-you-need-to-know/,519-291-4200,,No,,,,,,,,,,,,,,
Oakridge Arena,London Health Sciences / St. Joseph's Healthcare London / Middlesex PHU,https://www.healthunit.com/covid-19-concerns,,,No,,,,,,,,,,,,,,
Rural Wellington Assessment Centre / Mount Forest & District Sports Complex,Mount Forest Family Health Team,https://www.wdgpublichealth.ca/your-health/covid-19-information-public/assessment-centres-wdg,519-323-0255 ext. 5082,,No,Philip,Sent email through contact form,,,,,,,,,,,,
Niagara Health Greater Niagara General Site,Niagara Health Greater Niagara General Site,https://www.niagarahealth.on.ca/site/news/2020/03/24/niagara-healths-covid-19-assessment-centres,905-378-4647 ext 42819,,No,,,,,,,,,,,,,,
Niagara Health St. Catharines Site,Niagara Health St. Catharines Site,https://www.niagarahealth.on.ca/site/news/2020/03/24/niagara-healths-covid-19-assessment-centres,905-378-4647 ext 42819,,No,,,,,,,,,,,,,,
Rural Lambton Assessment Center,Bluewater Health,https://lambtonpublichealth.ca/2019-novel-coronavirus/testing-criteria/,519-882-2500,,No,,,,,,,,,,,,,,
Six Nations COVID-19 Assessment & Drive-Through Test Centre,Restricted to Six Nations members and providers only,,,,No,,,,,,,,,,,,,,
South Bruce Grey Health Centre - Kincardine Campus,South Bruce Grey Health Centre,https://www.sbghc.on.ca/coronavirus/assessment-centres,519-370-2400 ext 4313,,No,,,,,,,,,,,,,,
South Huron and Grand Bend Assessment Centre,South Huron Hospital Association – Grand Bend and Area CHC,https://lambtonpublichealth.ca/2019-novel-coronavirus/testing-criteria/,519-238-2362,Yes,No,,,,,,,,,,,,,,
