active,location_id,location_name,location_name_fr,operated_by,operated_by_fr,city,address,address_fr,postal_code,province,latitude,longitude,region,region_fr,phu_id,PHU,PHU_fr,phone,website,monday,tuesday,wednesday,thursday,friday,after_hours,appointments,walk_ins,drive_through,children_under_2,accessible
Yes,11,Huntsville District Memorial Hospital,Hôpital Memorial du district de Huntsville,Muskoka Algonquin Healthcare,Muskoka Algonquin Healthcare,Huntsville,100 Frank Miller Drive,100 chemin Frank Miller,P1H 1H7,ON,45.339214,-79.20568,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santé publique du district de Simcoe-Muskoka,1-888-383-7009,https://www.mahc.ca/en/services/covid19.aspx#,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,Yes,No,,,
Yes,12,Orillia Soldiers' Memorial Hospital,Hôpital Soldiers' Memorial d'Orillial,Orillia Soldiers' Memorial Hospital,Hôpital Soldiers' Memorial d'Orillial,Orillia,170 Colborne Street East,170 rue Colborne Est,L3V 2Z3,ON,44.605137,-79.425686,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santé publique du district de Simcoe-Muskoka,705-325-2201,https://www.osmh.on.ca/covid-19/,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,,No,Yes,Yes,,Yes
Yes,13,Barrie Community Health Centre,Barrie Community Health Centre,Royal Victoria Regional Health Centre,Royal Victoria Regional Health Centre,Barrie,490 Huronia Road,490 chemin Huronia,L4N 6M2,ON,44.34716,-79.665693,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santé publique du district de Simcoe-Muskoka,,https://www.rvh.on.ca/SitePages/coronavirus.aspx,8:00-16:30,8:00-16:30,8:00-16:30,8:00-16:30,8:00-16:30,,,,,,
Yes,14,Southlake Regional Health Centre,Southlake Regional Health Centre,Southlake Regional Health Centre,Southlake Regional Health Centre,Newmarket,596 Davis Drive,596 chemin Davis,L3Y 2P9,ON,44.060427,-79.452114,Central,Centre,5,York Region Public Health Services,Service de santé de la région de York,905-895-4521,https://southlake.ca/covid-19/#assessment-centre,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,,No,Yes,No,,
Yes,15,Stevenson Memorial Hospital,Hôpital Stevenson Memorial,Stevenson Memorial Hospital,Hôpital Stevenson Memorial,Alliston,200 Fletcher Crescent,200 Fletcher Crescent,L9R 1W7,ON,44.155578,-79.875078,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santé publique du district de Simcoe-Muskoka,705-435-6281,http://www.stevensonhospital.ca/news/index.html?id=265,15:00-19:00,,15:00-19:00,,15:00-19:00,,No,Yes,Yes,No,Yes
Yes,16,Trillium Health Partners - Clinical Administrative Building,Trillium Health Partners - Clinical Administrative Building,Trillium Health Partners - Clin Admin Bldg,Trillium Health Partners - Clin Admin Bldg,Mississauga,15 Bronte College Court,15 Bronte College Court,L5B 1M9,ON,43.572542,-79.60644,Central,Centre,6,Peel Public Health,Bureau de santé de la région de Peel,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,,,Yes,,,
Yes,17,Credit Valley – Drive-Thru,Hôpital Credit Valley - Drive-Thru,Trillium Health Partners,Trillium Health Partners,Mississauga,2200 Eglinton Avenue West,2200 chemin Eglinton Ouest,L5M 2N1,ON,43.558655,-79.703279,Central,Centre,6,Peel Public Health,Bureau de santé de la région de Peel,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,,,,Yes,No,Yes
Yes,18,Credit Valley Hospital – Valley House,Credit Valley Hospital – Valley House,Trillium Health Partners - Credit Valley Hospital,Trillium Health Partners,Mississauga,2200 Erin Mills Parkway,2200 Erin Mills Parkway,L5M 7S4,ON,43.558255,-79.704256,Central,Centre,6,Peel Public Health,Bureau de santé de la région de Peel,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,,,Yes,,,
Yes,19,William Osler Health System - Humber,William Osler Health System - Humber,William Osler Health System - Etobicoke,William Osler Health System - Etobicoke,Etobicoke,2 Janda Court,2 Janda Court,M9W 0A4,ON,43.723113,-79.601028,Central,Centre,6,Toronto Public Health,Bureau de santé de Toronto,,https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/assessment-centre-for-covid-19,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,,Yes,Yes,,Yes
Yes,20,"William Osler Health System - South Fletcher's Sportsplex, Brampton","William Osler Health System - South Fletcher's Sportsplex, Brampton",William Osler Health System,William Osler Health System,Brampton,500 Ray Lawson Boulevard,500 boulevard Ray Lawson,L6W 2Z8,ON,43.652811,-79.735964,Central,Centre,6,Peel Public Health,Bureau de santé de la région de Peel,,https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/assessment-centre-for-covid-19,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,,No,Yes,,,
Yes,21,Almonte General Hospital,Hôpital général d'Almonte,Almonte General Hospital,Hôpital général d'Almonte,Almonte,75 Spring Drive,75 chemin Spring,K0A 1A0,ON,45.228961,-76.189452,East,Est,7,"Leeds, Grenville and Lanark District Health Unit",Bureau de santé du district de Leeds,613-325-1208,http://www.almontegeneral.com/assessmentcentre,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,Yes,No,Yes,No,Yes
Yes,22,Brockville General Hospital,Hôpital général de Brockville,Brockville General Hospital,Hôpital général de Brockville,Brockville,100 Magedoma Blvd,100 boul. Magedoma,K6V 7J5,ON,44.610024,-75.699937,East,Est,7,"Leeds, Grenville and Lanark District Health Unit",Bureau de santé du district de Leeds,613-704-1441,https://www.brockvillegeneralhospital.ca/en/patient-care/covid-19-coronavirus.aspx#,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,,No,Yes,,Yes,
Yes,23,Brewer Park Arena,Brewer Park Arena,The Ottawa Hospital and CHEO,L'Hôpital d'Ottawa et CHEO,Ottawa,151 Brewer Way,151 chemin Brewer Way,K1S 5T1,ON,45.389239,-75.690478,East,Est,8,Ottawa Public Health,Bureau de santé publique d'Ottawa,,https://www.ottawapublichealth.ca/en/public-health-topics/novel-coronavirus.aspx,9:00-15:30,9:00-15:30,9:00-15:30,9:00-15:30,9:00-15:30,,No,Yes,,Yes,
Yes,24,Cornwall COVID-19 Assessment Centre,Cornwall - Centre d’évaluation pour la COVID-19,Cornwall Community Hospital,Hôpital communautaire de Cornwall,Cornwall,850 McConnell Avenue,850 avenue McConnell,K6H 4M3,ON,45.030101,-74.717964,East,Est,9,Eastern Ontario Health Unit,Bureau de santé de l'est de l'Ontario,613-935-7762,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,8:30-15:30,8:30-15:30,8:30-15:30,8:30-15:30,8:30-15:30,,Yes,No,,No,
Yes,25,Akausivik Inuit Family Health Team - COVID-19 Assessment Centre,Akausivik Inuit Family Health Team -Centre d'èvaluation de la COVID-19,Akausivik Inuit Family Health Team Assessment Centre provides culturally specific services for Inuit (please call first),Akausivik Inuit Family Health Team Assessment Centre provides culturally specific services for Inuit (please call first),Ottawa,"24 Selkirk Street, Suite 300",24 rue Selkirk,K1L 0A4,ON,45.431716,-75.667688,East,Est,8,Ottawa Public Health,Bureau de santé publique d'Ottawa,613-740-0999,https://eohu.ca/en/covid-19-novel-coronavirus,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,,,,,
Yes,26,Haliburton Highlands Health Services,Haliburton Highlands Health Services,Haliburton Highlands Health Services,Haliburton Highlands Health Services,Haliburton,7217 Gelert Road,7217 chemin Gelert,K0M 1S0,ON,45.039054,-78.528165,East,Est,10,"Haliburton, Kawartha, Pine Ridge District Health Unit",Bureau de santé du district d'Haliburton-Kawartha-Pine Ridge,"705-457-1212, ext. 6",https://www.haliburtoncares.ca/,9:00-13:00,9:00-13:00,,9:00-13:00,9:00-13:00,,Yes,No,,No,
Yes,27,Hawkesbury and District General Hospital  - Children Rehab Clinic,Hawkesbury and District General Hospital  - Children Rehab Clinic,Hawkesbury and District General Hospital,Hôpital Général de Hawkesbury,Hawkesbury,750 Laurier Street,750 rue Laurier,K6A 3N9,ON,45.603834,-74.598607,East,Est,9,Eastern Ontario Health Unit,Bureau de santé de l'est de l'Ontario,1-800-267-7120,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,No,Yes,,No,
Yes,28,Casselman COVID-19 Assessment Centre,Casselman - Centre d’évaluation pour la COVID-19,Eastern Ontario Health Unit - Casselman office,Eastern Ontario Health Unit - Casselman office,Casselman,872 Principale Street,872 rue Principale,K0A 1M0,ON,45.321488,-75.106032,East,Est,9,Eastern Ontario Health Unit,Bureau de santé de l'est de l'Ontario,1-800-267-7120,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,9:00-15:00,9:00-15:00,9:00-15:00,9:00-15:00,9:00-15:00,,No,Yes,Yes,No,Yes
Yes,29,Rockland COVID-19 Assessment Centre,Rockland - Centre d’évaluation pour la COVID-19,Clarence-Rockland Family Health Team Office,Équipe de santé familiale Clarence-Rockland,Rockland,2741 Chamberland Street,2741 Chemin Chamberland,K4K 0B4,ON,45.544511,-75.301242,East,Est,9,Eastern Ontario Health Unit,Bureau de santé de l'est de l'Ontario,1-800-267-7120,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,9:00-15:00,9:00-15:00,9:00-15:00,9:00-15:00,9:00-15:00,,Yes,No,,No,
Yes,30,Hôpital Montfort - St. Patrick's Intermediate School,Hôpital Montfort - St. Patrick's Intermediate School,Hôpital Montfort,Hôpital Montfort,Ottawa,1485 Heron Road,1485 chemin Heron,K1V 6A6,ON,45.38042,-75.654826,East,Est,8,Ottawa Public Health,Bureau de santé publique d'Ottawa,613-746-4621,https://hopitalmontfort.com/en/second-covid-19-care-clinic-opening-ottawa-east-thursday,9:00-15:30,9:00-15:30,9:00-15:30,9:00-15:30,9:00-15:30,,,Yes,,,
Yes,31,Kingston Memorial Centre,Kingston Memorial Centre,Kingston Health Sciences Centre,Kingston Health Sciences Centre,Kingston,303 York Street,303 rue York,K7K 4M4,ON,44.239256,-76.500034,East,Est,11,"Kingston, Frontenac and Lennox & Addington Health Unit",Bureau de santé de Kingston,613-549-1232,https://www.kflaph.ca/Modules/News/index.aspx?newsId=ac53feb2-35a4-4a09-bd86-dd7c62755eaa,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,,,,,,
Yes,32,Lakeridge Health - Oshawa,Lakeridge Health - Oshawa,Lakeridge Health,Lakeridge Health,Oshawa,1 Hospital Court,1 Hospital Court,L1G 2B9,ON,43.905529,-78.869215,East,Est,12,Durham Region Health Department,Service de santé de la région de Durham,,covidswab.lh.ca,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,,Yes,,,,
Yes,33,Lakeridge Health - Ajax Pickering,Lakeridge Health - Ajax Pickering,Lakeridge Health,Lakeridge Health,Ajax,580 Harwood Avenue South,580 avenue Harwood Sud,L1S 2J4,ON,43.836799,-79.017114,East,Est,12,Durham Region Health Department,Service de santé de la région de Durham,,covidswab.lh.ca,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,Yes,No,,No,
Yes,34,Lennox and Addington County General Hospital,Hôpital général du comté de Lennox and Addington,Lennox and Addington County General Hospital,Hôpital général du comté de Lennox and Addingtonl,Napanee,310 Bridge Street West,310 rue Bridge Ouest,K7R 2Z4,ON,44.239028,-76.969627,East,Est,11,"Kingston, Frontenac and Lennox & Addington Health Unit",Bureau de santé de Kingston,613-354-8254,http://web.lacgh.napanee.on.ca/en/newsroom?newsid=84,9:00-15:00,9:00-15:00,9:00-15:00,9:00-15:00,9:00-15:00,,Yes,No,,,
Yes,35,Akwesasne COVID-19 Assessment Centre,Akwesasne - Centre d’évaluation pour la COVID-19,Mohawk Council of Akwesasne Department of Health,Mohawk Council of Akwesasne Department of Health,Akwesasne,31 Hilltop Drive,31 chemin Hilltop,H0M 1A0,QC,44.999832,-74.654378,East,Est,9,Eastern Ontario Health Unit,Bureau de santé de l'est de l'Ontario,613-575-5005 ext. 3704 or 613-575-2331 ext. 3702,http://www.akwesasne.ca/covid-19-novel-coronavirus-information/,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,Yes,No,Yes,No,Yes
Yes,36,North Hastings COVID-19 Assessment Center,North Hastings COVID-19 Assessment Center,Quinte Healthcare Corporation,Quinte Healthcare Corporation,Bancroft,1 Manor Lane,1 Manor Lane,K0L 1C0,ON,45.055092,-77.864208,East,Est,13,Hastings and Prince Edward Counties Health Unit,Bureau de santé des comtès d'Hastings et de Prince Edward,613-332-2825 ext 2222,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,,Yes,No,Yes,,Yes
Yes,37,Perth and Smiths Falls District Hospital - Smiths Falls Site,Hôpital du district de Perth et de Smiths Falls - Smiths Falls Site,Perth and Smiths Falls District Hospital,Hôpital du district de Perth et de Smiths Falls,Smiths Falls,60 Cornelia Street West,60 rue Cornelia Ouest,K7A 2H9,ON,44.907454,-76.027508,East,Est,7,"Leeds, Grenville and Lanark District Health Unit","""Leeds, Grenville et Lanark""",613-283-2330 ext. 1401,https://psfdh.on.ca/2020/04/03/community-assessment-centre/,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,Yes,No,,No,
Yes,38,Prince Edward Community Centre,Centre communautaire Prince Edward,Prince Edward Covid-19 Assessment Centre,Centre d'èvaluation de la COVID-19 Prince Edward,Picton,375 Main Street,375 rue Main,K0K 2T0,ON,44.008797,-77.139402,East,Est,13,Hastings and Prince Edward Counties Health Unit,Bureau de santé des comtès d'Hastings et de Prince Edward,613-813-6864,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,Yes,No,Yes,,Yes
Yes,39,Queensway Carlton Hospital - D. Aubrey Moodie School,Queensway Carlton Hospital - École D. Aubrey Moodie,Queensway Carlton Hospital,Queensway Carlton Hospital,Ottawa,595 Moodie Drive,595 chemin Moodie,K2H 8A8,ON,45.310814,-75.825601,East,Est,8,Ottawa Public Health,Bureau de santé publique d'Ottawa,,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx,9:00-15:30,9:00-15:30,9:00-15:30,9:00-15:30,9:00-15:30,,,Yes,,No,
Yes,40,Quinte Healthcare - Quinte Secondary School,Quinte Healthcare - École secondaire Quinte,Quinte Healthcare,Quinte Healthcare,Belleville,45 College St. West,45 rue College Ouest,K8P 2G3,ON,44.17531,-77.393179,East,Est,13,Hastings and Prince Edward Counties Health Unit,Bureau de santé des comtès d'Hastings et de Prince Edward,613-961-5544,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,Yes,,Yes,,Yes
Yes,41,Quinte West COVID-19 Assessment Centre,Centre d'èvaluation de la COVID-19 Quinte Ouest,Quinte Healthcare,Quinte Healthcare,Trenton,8 Couch Crescent,8 crescent Couch,K8V 5S6,ON,44.102899,-77.569555,East,Est,13,Hastings and Prince Edward Counties Health Unit,Bureau de santé des comtès d'Hastings et de Prince Edward,613-961-5544,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,Yes,,Yes,,Yes
,42,Cobden Arena,Cobden Arena,Arnprior Regional Health,Arnprior Regional Health,Cobden,43 Astrolabe Road,43 rue Astrolabe,K0J 1K0,ON,45.623129,-76.879507,East,Est,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,1-844-727-6404,https://rcvtac.ca/,9:00-11:00,,,,9:00-11:00,,Yes,,,,
Yes,43,Civic Centre,Civic Centre,Arnprior Regional Health,Arnprior Regional Health,Petawawa,16 Civic Centre Road,16 rue Civic Centre,K8H 3H5,ON,45.894435,-77.259937,East,Est,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,1-844-727-6404,https://rcvtac.ca/,,,,9:00-10:30,,,Yes,,,,
Yes,44,Pembroke Assessment Centre,Pembroke Assessment Centre,Arnprior Regional Health,Arnprior Regional Health,Pembroke,7 International Drive,7 allée International,K8A 6W5,ON,45.800448,-77.116602,East,Est,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,1-844-727-6404,https://rcvtac.ca/,,9:00-10:30,,,,,Yes,,,,
,45,Deep River Arena,Deep River Arena,Arnprior Regional Health,Arnprior Regional Health,Deep River,2 Club House Road,2 rue Club House,K0J 1P0,ON,46.095052,-77.485164,East,Est,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,1-844-727-6404,https://rcvtac.ca/,,,14:00-16:00,,,,Yes,,,,
Yes,46,Nick Smith Centre / Renfrew County Virtual Triage and Assessment Centre,Nick Smith Centre / Renfrew County Virtual Triage and Assessment Centre,Arnprior Regional Health,Arnprior Regional Health,Arnprior,77 James Street,77 rue James,K7S 1C9,ON,45.42557,-76.356357,East,Est,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,1-844-727-6404,https://rcvtac.ca/,9:00-10:30,,,,14:00-16:00,,Yes,,,,
,47,Eganville Community Arena,Eganville Community Arena,Arnprior Regional Health,Arnprior Regional Health,Eganville,178 Jane Street,178 rue Jane,K0J 1T0,ON,45.541852,-77.105656,East,Est,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,1-844-727-6404,https://rcvtac.ca/,,,14:00-16:00,,,,Yes,,,,
Yes,48,Ma-te-way Park,Ma-te-way Park,Arnprior Regional Health,Arnprior Regional Health,Renfrew,1 Ma Te Way Park Drive,1 allée Ma Te Way Park,K7V 2T5,ON,45.465465,-76.694201,East,Est,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,1-844-727-6404,https://rcvtac.ca/,14:00-15:30,,,,18:00-20:00,,Yes,,,,
,49,Paul J Yakabuski Community Centre / Renfrew County Virtual Triage and Assessment Centre,Paul J Yakabuski Community Centre / Renfrew County Virtual Triage and Assessment Centre,Arnprior Regional Health,Arnprior Regional Health,Barry's Bay,65 Arena Road,65 rue Arena,K0J 1B0,ON,45.486426,-77.668443,East,Est,14,Renfrew County and District Health Unit,Bureau de santé du comtè de Renfrew et du district,1-844-727-6404,https://rcvtac.ca/,,,18:00-20:00,,,,Yes,,,,
Yes,50,Lindsay Fairgrounds,Lindsay Fairgrounds,Ross Memorial Hospital,Hôpital Ross Memorial,Lindsay,354 Angeline St South,354 rue Angeline Sud,K9V 4W9,ON,44.328483,-78.737622,East,Est,10,"Haliburton, Kawartha, Pine Ridge District Health Unit",Bureau de santé du district d'Haliburton-Kawartha-Pine Ridge,705-328-6217,https://www.rmh.org/covid-19,9:30-17:30,9:30-17:30,9:30-17:30,9:30-17:30,9:30-17:30,,,,Yes,,Yes
Yes,51,Trent Hills COVID19 Assessment Centre,Centre d'èvaluation de la COVID-19 de Trent Hills,Trent Hills Family Health Team + Northumberland County Ambulance & Paramedic Services,Trent Hills Family Health Team + Northumberland County Ambulance & Paramedic Services,Campbellford,179 Saskatoon Avenue,179 avenue Saskatoon,K0L 1L0,ON,44.30277,-77.799495,East,Est,10,"Haliburton, Kawartha, Pine Ridge District Health Unit",Bureau de santé du district d'Haliburton-Kawartha-Pine Ridge,705-395-1801,https://www.thfht.com/wp-content/uploads/2020/05/PRESS-RELEASE-May-25-2020-AC-Final.pdf,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,,,,,
Yes,52,Winchester COVID-19 Assessment Centre,Winchester - Centre d’évaluation pour la COVID-19,Lions Club Hall,Salle du Club Lions,Winchester,515 Albert Street,515 rue Albert,K0C 2K0,ON,45.092745,-75.350378,East,Est,9,Eastern Ontario Health Unit,Bureau de santé de l'est de l'Ontario,1-800-267-7120,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,12:00-18:00,,,,,,
Yes,53,Kinsmen Civic Centre,Kinsmen Civic Centre,Peterborough Public Health,Bureau de santé du Peterborough,Peterborough,1 Kinsmen Way,1 chemin Kinsmen,K9J 5Y6,ON,44.293856,-78.342428,East,Est,15,Peterborough Public Health,Bureau de santé du Peterborough,705-743-1000,https://www.peterboroughpublichealth.ca/your-health/diseases-infections-immunization/diseases-and-infections/novel-coronavirus-2019-ncov/#tested,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,9:00-16:30,,No,Yes,Yes,,Yes
Yes,54,COVID-19 Assessment Centre at PRHC,COVID-19 Assessment Centre at PRHC,Peterborough Regional Health Centre,Peterborough Regional Health Centre,Peterborough,1 Hospital Drive,1 chemin Hospital,K9J 7C6,ON,44.300025,-78.347609,East,Est,15,Peterborough Public Health,Bureau de santé du Peterborough,705-876-5086,https://www.prhc.on.ca/articles/default-category/207/covid-19-assessment-centre-at-prhc-now-available-by-calling-directly,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,Yes,No,No,,
Yes,55,Northumberland Hills Hospital,Hôpital du Northumberland Hills,Northumberland Hills Hospital,Hôpital du Northumberland Hills,Cobourg,1000 Depalma Drive,1000 chemin Depalma,K9A 5W6,ON,43.976426,-78.202208,East,Est,10,"Haliburton, Kawartha, Pine Ridge District Health Unit",Bureau de santé du district d'Haliburton-Kawartha-Pine Ridge,905-377-7783,,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,Yes,No,,Yes,
Yes,56,Atikokan Family Health Team,Équipe santé familiale d'Atikokan,Atikokan Family Health Team,Équipe santé familiale d'Atikokan,Atikokan,101 Zuke Road,101 chemin Zuke,P0T 1C0,ON,48.753128,-91.600594,North,Nord,16,Northwestern Health Unit,Bureau de santé publique du Nord-Ouest,807-597-8781 ext 0,https://atikokanfht.com/,9:00-16:00,9:00-16:00,9:00-16:00,9:00-16:00,9:00-16:00,Yes,Yes,No,,,
