ï»¿active,location_id,location_name,location_name_fr,operated_by,operated_by_fr,city,address,address_fr,postal_code,province,latitude,longitude,region,region_fr,phu_id,PHU,PHU_fr,phone,website,monday,tuesday,wednesday,thursday,friday,saturday,sunday,after_hours,appointments,walk_ins,drive_through,children_under_2,accessible,additional_information,additional_information_fr,age_threshold,asl_interpretation,email,first_nations,free_parking,french_language_services,general_population,holiday_hours,paid_parking,pharmacy,public_transit,symptomatic,temporarily_closed,weeks_pregnant
,11,Huntsville District Memorial Hospital,HÃ´pital Memorial du district de Huntsville,Muskoka Algonquin Healthcare,Muskoka Algonquin Healthcare,Huntsville,100 Frank Miller Drive,100 chemin Frank Miller,P1H 1H7,ON,45.339214,-79.205680,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santÃ© publique du district de Simcoe-Muskoka,888-383-7009,https://www.mahc.ca/en/services/covid19.aspx#,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,,,Yes,No,Yes,,Yes,,,0m,No,,Moose Deer Point and Wahta First Nations,Yes,No,Yes,,,,No,Yes,Yes,
Yes,12,Orillia Soldiers' Memorial Hospital,HÃ´pital Soldiers' Memorial d'Orillial,Orillia Soldiers' Memorial Hospital,HÃ´pital Soldiers' Memorial d'Orillial,Orillia,100 University Avenue,,"L3V 6H2


",ON,44.589157,-79.455401,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santÃ© publique du district de Simcoe-Muskoka,888-589-4109,https://www.osmh.on.ca/covid-19/,11:00-18:30,11:00-18:30,11:00-18:30,11:00-18:30,11:00-18:30,11:00-14:30,11:00-14:30,,Yes,No ,No,,Yes,"Appointments can also be booked by calling 1-888-589-4109 from 8 am to 4 pm.


https://www.osmh.on.ca/covid-19/


Do not enter Rotary Place at the main entrance. Follow the signs and access the Assessment Centre through the dedicated entrance at the side of the building.  Please follow the directions for exiting the building.


",,0m,No,,Rama First Nation,Yes,No,Yes,,,,Yes,Yes,,
Yes,13,Barrie Community Health Centre,Barrie Community Health Centre,Barrie Community Health Centre,Barrie Community Health Centre,Barrie,490 Huronia Road,490 chemin Huronia,L4N 6M2,ON,44.347160,-79.665693,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santÃ© publique du district de Simcoe-Muskoka,,https://barriehealth.ca/,8:30-16:30,8:30-16:30,8:30-16:30,8:30-16:30,8:30-16:30,,,,Yes,No ,No,,Yes,"Located in the rear building behind the Huronia Urgent Care Clinic.


https://v2.waitwhile.com/book/barriecovidtesting",,0m,No,,,Yes,No,,,,,Yes,Yes,,
Yes,14,Southlake Regional Health Centre,Southlake Regional Health Centre,Southlake Regional Health Centre,Southlake Regional Health Centre,Newmarket,474 Davis Drive,474 chemin Davis,L3Y 2P3,ON,44.059290,-79.458347,Central,Centre,5,York Region Public Health Services,Service de santÃ© de la rÃ©gion de York,289-803-2199,https://southlake.ca/,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,,Yes,Yes,No,,Yes,The assessment centre is located in the Town of Newmarketâ€™s Seniorsâ€™ Meeting place. Park at the rear of the building follow signs to entrance.  Call 289-803-2199 to book an appointment.,,0m,Yes,,,,Yes,,,Yes,,Yes,Yes,,
Yes,15,Stevenson Memorial Hospital,HÃ´pital Stevenson Memorial,Stevenson Memorial Hospital,HÃ´pital Stevenson Memorial,Alliston,200 Fletcher Crescent,200 Fletcher Crescent,L9R 1W7,ON,44.155578,-79.875078,Central,Centre,2,Simcoe Muskoka District Health Unit,Bureau de santÃ© publique du district de Simcoe-Muskoka,249-501-0383,http://www.stevensonhospital.ca/news/index.html?id=265,9:00-17:00,,9:00-17:00,,9:00-17:00,,,,Yes,No ,Yes,No,Yes,"Please call 249-501-0383 to book an appointment. 

Drive-through centre located in the back parking lot.",,2y,No,,,,No,,,Yes,,No,Yes,,
Yes,16,Mississauga Hospital - Clinical Administrative Building,,Trillium Health Partners ,Trillium Health Partners ,Mississauga,15 Bronte College Court,15 Bronte College Court,L5B 1M9,ON,43.572542,-79.606440,Central,Centre,6,Peel Public Health,Bureau de santÃ© de la rÃ©gion de Peel,,https://trilliumhealthpartners.ca/assessment,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,,Yes,No ,No,,Yes,Appointments can be booked through https://trilliumhealthpartners.ca/assessment,,1y,No,,,Yes,No,,,,,Yes,Yes,,
Yes,17,Credit Valley â€“ Drive-Thru,HÃ´pital Credit Valley - Drive-Thru,Trillium Health Partners,Trillium Health Partners,Mississauga,2200 Eglinton Avenue West,2200 chemin Eglinton Ouest,L5M 2N1,ON,43.558655,-79.703279,Central,Centre,6,Peel Public Health,Bureau de santÃ© de la rÃ©gion de Peel,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,,Yes,No ,Yes,No,Yes,"Appointments can be booked through the website. https://trilliumhealthpartners.ca/assessment


Drive-through only.",,18y,No,,,Yes,Yes,,,,,Yes,Yes,,
No,18,Credit Valley Hospital â€“ Valley House,Credit Valley Hospital â€“ Valley House,Trillium Health Partners,Trillium Health Partners,Mississauga,2200 Eglinton Avenue West,2200 chemin Eglinton Ouest,L5M 2N1,ON,43.558655,-79.703279,Central,Centre,6,Peel Public Health,Bureau de santÃ© de la rÃ©gion de Peel,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,,Yes,No ,No,,No,Appointments can be booked through the website.,,1y,No,,,Yes,Yes,,,,,Yes,Yes,,
Yes,19,William Osler Health System - Etobicoke Drive-thru,William Osler Health System - Etobicoke Drive-thru,William Osler Health System,William Osler Health System,Etobicoke,2 Janda Court,2 Janda Court,M9W 0A4,ON,43.723113,-79.601028,Central,Centre,6,Toronto Public Health,Bureau de santÃ© de Toronto,905-487-1249,https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/assessment-centre-for-covid-19,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,Yes,No ,Yes,,Yes,Call this number for booking 905-487-1249,,2y,No,,,Yes,No,,,,,Yes,Yes,,
Yes,20,"William Osler Health System - Brampton, South Fletcher's Sportsplex","William Osler Health System - Brampton, South Fletcher's Sportsplex",William Osler Health System,William Osler Health System,Brampton,500 Ray Lawson Boulevard,500 boulevard Ray Lawson,L6W 2Z8,ON,43.652811,-79.735964,Central,Centre,6,Peel Public Health,Bureau de santÃ© de la rÃ©gion de Peel,905-487-1249,https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/assessment-centre-for-covid-19,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,Yes,No ,Yes,,Yes,"Please call 905-487-1249 for appointment bookings. 


Located in the north parking lot of the South Fletcherâ€™s Sportsplex, at the intersection of McLaughlin Road and Ray Lawson Boulevard.


Signs are posted at entry points. Enter off of McLaughlin Road.",,2y,No,,,Yes,No,,,,,Yes,Yes,,
Yes,21,Almonte General Hospital,HÃ´pital gÃ©nÃ©ral d'Almonte,Almonte General Hospital,HÃ´pital gÃ©nÃ©ral d'Almonte,Almonte,75 Spring Street,,K0A 1A0,ON,45.228961,-76.189452,East,Est,7,"Leeds, Grenville and Lanark District Health Unit",Bureau de santÃ© du district de Leeds,613-325-1208,http://www.almontegeneral.com/assessmentcentre,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,,Yes,No,Yes,No,Yes,"Located at the corner of Spring Street and State Street in the brick building behind Almonte General Hospital's Emergency Department.





Please call to schedule an appointment and leave a message if needed. One of the clinic nurses will call back with an appointment time. Parking is available at the Centre.&nbsp; 


",,2y,No,,,Yes,No,,Closed ,,,No,Yes,,
Yes,22,Brockville General Hospital,HÃ´pital gÃ©nÃ©ral de Brockville,Brockville General Hospital,HÃ´pital gÃ©nÃ©ral de Brockville,Brockville,100 Magedoma Blvd,100 boul. Magedoma,K6V 7J5,ON,44.610024,-75.699937,East,Est,7,"Leeds, Grenville and Lanark District Health Unit",Bureau de santÃ© du district de Leeds,613-704-1441,https://www.brockvillegeneralhospital.ca/en/patient-care/covid-19-coronavirus.aspx#,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-14:30,10:00-14:30,,Yes,Yes,No,Yes,Yes,,,0m,No,,,Yes,No,,10:00-14:30,,,,Yes,,
Yes,23,Brewer Park Arena (CHEO),Brewer Park Arena (CHEO),CHEO,CHEO,Ottawa,151 Brewer Way,151 chemin Brewer Way,K1S 5T1,ON,45.389239,-75.690478,East,Est,8,Ottawa Public Health,Bureau de santÃ© publique d'Ottawa,613-737-7600 ext. 6720,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-15:30,08:30-15:30,08:30-15:30,,Yes,Yes,No,Yes,Yes,"Follow the signage for parking. Enter from Bronson Avenue.

Can test anyone 2months-18 years of age by appointment. 

Free parking available

Near public transit

French-language services available

Accommodates wheelchairs and mobility devices",,2m,No,,,Yes,Yes,,8:30-19:30,,,Yes,Yes,,
Yes,24,Brewer Park Arena (The Ottawa Hospital),Brewer Park Arena (The Ottawa Hospital),The Ottawa Hospital,L'HÃ´pital d'Ottawa,Ottawa,151 Brewer Way,151 chemin Brewer Way,K1S 5T1,ON,45.389239,-75.690478,East,Est,8,Ottawa Public Health,Bureau de santÃ© publique d'Ottawa,613-737-8193,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-15:30,08:30-15:30,08:30-15:30,,Yes,Yes,No,Yes,Yes,"Follow the signage for parking. Enter from Bronson Avenue.

18 years and older: by appointment

Free parking available

Near public transit

French-language services available

Accommodates wheelchairs and mobility devices",,2m,No,,,Yes,Yes,,8:30-19:30,,,Yes,Yes,,
Yes,25,Cornwall COVID-19 Assessment Centre,Cornwall - Centre dâ€™Ã©valuation pour la COVID-19,Cornwall Community Hospital,HÃ´pital communautaire de Cornwall,Cornwall,850 McConnell Avenue,850 avenue McConnell,K6H 4M3,ON,45.030101,-74.717964,East,Est,9,Eastern Ontario Health Unit,Bureau de santÃ© de l'est de l'Ontario,343-475-0160,https://eohu.ca/en/covid/covid-19-testing-assessment-centres    ,8:00-20:00,8:00-16:00,8:00-16:00,8:00-20:00,8:00-16:00,8:00-16:00,,,Yes,No,No,Yes,Yes,Park in a designated area in the Emergency Lot: Parking is free. Arrive at the exact time of your appointment (not earlier). Please wait outside and someone will greet you at the door. Bring only a health card and mask.,,0m,No,,,Yes,Yes,,Closed ,,,Yes,Yes,,
Yes,26,Akausivik Inuit Family Health Team - COVID-19 Assessment Centre ,Akausivik Inuit Family Health Team -Centre d'Ã¨valuation de la COVID-19 ,Akausivik Inuit Family Health Team,Akausivik Inuit Family Health Team,Ottawa,"24 Selkirk Street, Suite 300",24 rue Selkirk,K1L 0A4,ON,45.431716,-75.667688,East,Est,8,Ottawa Public Health,Bureau de santÃ© publique d'Ottawa,613-740-0999,https://eohu.ca/en/covid-19-novel-coronavirus,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,,Yes,No ,No,,,,,0m,,generalinfo@aifht.ca,Inuit,,,,Closed ,,,,Yes,,
Yes,27,Haliburton Highlands Health Services,Haliburton Highlands Health Services,Haliburton Highlands Health Services,Haliburton Highlands Health Services,Haliburton,7217 Gelert Road,7217 chemin Gelert,K0M 1S0,ON,45.039054,-78.528165,East,Est,10,"Haliburton, Kawartha, Pine Ridge District Health Unit",Bureau de santÃ© du district d'Haliburton-Kawartha-Pine Ridge ,705-457-1212 ext. 6,https://www.haliburtoncares.ca/,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-15:00,,,,Yes,No,Yes,,Yes,"Located in the parking lot of the Haliburton Family Medical Centre. Enter from Haliburton County Road 21, on the roadway beside the high school. Patients under 2 years will be deferred to the Emergency dDepartment. Patients between 2 and 18 will be reviewed with the assessment centre physician before booking an appointment.","SituÃ© dans le stationnement du Haliburton Family Medical Centre. Entrez Ã  partir de la route de comtÃ© 21 Ã  Haliburton, sur la voie dâ€™accÃ¨s derriÃ¨re lâ€™Ã©cole secondaire.",2y,No,,,Yes,No,,,,,Yes,Yes,,
Yes,28,Hawkesbury COVID-19 Assessment Centre,Hawkesbury- Centre dâ€™Ã©valuation pour la COVID-19,Hawkesbury General Hospital,Hawkesbury General Hospital,Hawkesbury,750 Laurier Street,750 rue Laurier,K6A 3N9,ON,45.603834,-74.598607,East,Est,9,Eastern Ontario Health Unit,Bureau de santÃ© de l'est de l'Ontario,613-632-1111 ext. 53800,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,09:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,,,Yes,Yes,No,No,Yes,"Vulnerable clients and clients with cancer can get tested before opening times. If you do not have internet access or need assistance with the appointment system, call 613-632-1111, ext. 53800.","Sur rendez-vous seulement


Si vous nâ€™avez pas accÃ¨s Ã  internet ou que vous avez besoin dâ€™aide avec le systÃ¨me de rendez-vous, composez le 613-632-1111, poste 53800.


",2y,Yes,,,Yes,Yes,,Closed ,,,No,Yes,,
,29,Casselman COVID-19 Testing Centre,Casselman - Centre dâ€™Ã©valuation pour la COVID-19,Hawkesbury General Hospital,Hawkesbury General Hospital,Casselman,872 Principale Street,872 rue Principale,K0A 1M0,ON,45.321488,-75.106032,East,Est,9,Eastern Ontario Health Unit,Bureau de santÃ© de l'est de l'Ontario,800-267-7120,https://eohu.ca/fr/covid/covid-19-testing-assessment-centres ,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,,,,Yes,Yes,Yes,,Yes,"No appointment offered (first come first served).

Can test anyone over 1 year old.

Drive through only.

",,1y,No,,,Yes,Yes,,Closed ,,,No,Yes,Yes,
Yes,30,Rockland COVID-19 Assessment Centre,Rockland - Centre dâ€™Ã©valuation pour la COVID-19,Clarence-Rockland Family Health Team,Ã‰quipe de santÃ© familiale Clarence-Rockland,Rockland,2741 Chamberland Street,2741 Chemin Chamberland,K4K 0B4,ON,45.544511,-75.301242,East,Est,9,Eastern Ontario Health Unit,Bureau de santÃ© de l'est de l'Ontario,800-267-7120 ,https://eohu.ca/en/covid/covid-19-testing-assessment-centres  ,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,,,,Yes,No,No,No,,,,2y,,,,,Yes,,Closed ,,,,Yes,,
Yes,31,COVID-19 Care and Testing Centre â€“ Heron,HÃ´pital Montfort - Heron Location,HÃ´pital Montfort,HÃ´pital Montfort,Ottawa,1485 Heron Road,1485 chemin Heron,K1V 6A6,ON,45.380420,-75.654826,East,Est,8,Ottawa Public Health,Bureau de santÃ© publique d'Ottawa,613-746-4621,https://hopitalmontfort.com/en/second-covid-19-care-clinic-opening-ottawa-east-thursday,9:00-15:30,9:00-15:30,9:00-15:30,9:00-15:30,9:00-15:30,,,,Yes,Yes,No,,Yes,,,6m,No,,,Yes,Yes,,9:00-15:30,,,Yes,Yes,,
Yes,32,Kingston Assessment Centre,Kingston Assessment Centre,Kingston Health Sciences Centre,Kingston Health Sciences Centre,Kingston,51 Heakes Lane,,K7M 9B1,ON,44.218676,-76.521757,East,Est,11,"Kingston, Frontenac and Lennox & Addington Health Unit",Bureau de santÃ© de Kingston,613-548-2376,https://kingstonhsc.ca/patients-families-and-visitors/covid-19-information/community-assessment-centre,9:00-16:00,9:00-16:00,9:00-16:00,9:00-16:00,9:00-16:00,9:00-16:00,9:00-16:00,,Yes,No ,No,,Yes,"To book an appointment online - https://kingstonhsc.ca/patients-families-and-visitors/covid-19-information/community-assessment-centre

To book an appointment by telephone please call 613-548-2376 (between 930 a.m. and 3:30 p.m.)

The Beechgrove Complex: Enter by turning south at the King St W and Portsmouth Ave intersection and follow the signage for walk in.

",,6m,No,,,,Yes,,9:00-16:00,Yes,,Yes,Yes,,
,33,Lakeridge Health - Oshawa,Lakeridge Health - Oshawa,Lakeridge Health,Lakeridge Health,Oshawa,1 Hospital Court,1 Hospital Court,L1G 2B9,ON,43.905529,-78.869215,East,Est,12,Durham Region Health Department,Service de santÃ© de la rÃ©gion de Durham,,https://www.lakeridgehealth.on.ca/en/patientsandvisitors/novel-coronavirus-2019-ncov.asp,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,,,Yes,No,No,,Yes,"Please complete the online registration form. Patients will be called or emailed with an appointment time. Yes there is a separate entrance leading into the Hospital, the clinic is located right near that entrance so no other population can access.  Parking is free for the first 30 minutes. We have interpretation services for most languages.  We also have swabbed patients in their cars if it is warranted.",,0m,Yes,,,,Yes,,Closed ,Yes,,Yes,Yes,Yes,
Yes,34,Lakeridge Health - Ajax Pickering,Lakeridge Health - Ajax Pickering,Lakeridge Health,Lakeridge Health,Ajax,580 Harwood Avenue South,580 avenue Harwood Sud,L1S 2J4,ON,43.836799,-79.017114,East,Est,12,Durham Region Health Department,Service de santÃ© de la rÃ©gion de Durham,,https://www.lakeridgehealth.on.ca/en/patientsandvisitors/novel-coronavirus-2019-ncov.asp,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-16:00,8:00-16:00,,Yes,No,No,No,Yes,Please complete the online registration form. Patients will be called or emailed with an appointment time. Separate building on hospital property.,,18y,No,,,No,No,,Closed ,Yes,,Yes,Yes,,
Yes,35,Lennox and Addington County General Hospital,HÃ´pital gÃ©nÃ©ral du comtÃ© de Lennox and Addington,Lennox and Addington County General Hospital,HÃ´pital gÃ©nÃ©ral du comtÃ© de Lennox and Addingtonl,Napanee,310 Bridge Street West,310 rue Bridge Ouest,K7R 2Z4,ON,44.239028,-76.969627,East,Est,11,"Kingston, Frontenac and Lennox & Addington Health Unit",Bureau de santÃ© de Kingston,613-354-8254,http://web.lacgh.napanee.on.ca/,8:30-15:30,8:30-15:30,9:00-15:00,8:30-15:30,9:00-15:00,8:30-15:30,9:00-15:00,,Yes,No ,Yes,,Yes,By appointment only,,0m,No,,,Yes,No,,,,,Yes,Yes,,
Yes,36,Akwesasne COVID-19 Assessment Centre,Akwesasne - Centre dâ€™Ã©valuation pour la COVID-19,Mohawk Council of Akwesasne Department of Health ,Mohawk Council of Akwesasne Department of Health ,Akwesasne,31 Hilltop Drive,31 chemin Hilltop,H0M 1A0,QC,44.999832,-74.654378,East,Est,9,Eastern Ontario Health Unit,Bureau de santÃ© de l'est de l'Ontario,613-575-5005 ext. 3704 or 613-575-2331 ext. 3702,http://www.akwesasne.ca/covid-19-novel-coronavirus-information/,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,,,Yes,No,Yes,No,Yes,,,2y,,,Akwesasronon,,,No,,,,,Yes,,
Yes,37,North Hastings COVID-19 Assessment Center,North Hastings COVID-19 Assessment Center,Quinte Healthcare Corporation,Quinte Healthcare Corporation,Bancroft,1 Manor Lane,1 Manor Lane,K0L 1C0,ON,45.055092,-77.864208,East,Est,13,Hastings and Prince Edward Counties Health Unit,Bureau de santÃ© des comtÃ¨s d'Hastings et de Prince Edward,613-332-2825 ext. 6222,https://www.qhc.on.ca/covid-19.php,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,,,,Yes,No,Yes,,Yes,"Follow the signs, drive through into the tent, have those being assessed or tested on the driver's side of the vehicle if possible, park and turn off the car with the windows between the two tables under the tent. Phone or text your phone number to us and we will call you back to book a time. You must have an appointment so we can ensure patient safety, confidentiality and physical distancing. ",,0m,No,,,Yes,Yes,,,,,No,Yes,,
