active,location_id,location_name,location_name_fr,operated_by,operated_by_fr,city,address,address_fr,postal_code,province,latitude,longitude,region,region_fr,phu_id,PHU,PHU_fr,phone,website,monday,tuesday,wednesday,thursday,friday,after_hours,appointments,walk_ins,drive_through,children_under_2,accessible,saturday,sunday,age_threshold,french_language_services,asl_interpretation,paid_parking,public_transit,additional_information,additional_information_fr,first_nations,free_parking,weeks_pregnant,general_population,holiday_hours,email,temporarily_closed
Yes,16,Trillium Health Partners - Clinical Administrative Building,Trillium Health Partners - Clinical Administrative Building,Trillium Health Partners - Clin Admin Bldg,Trillium Health Partners - Clin Admin Bldg,Mississauga,15 Bronte College Court,15 Bronte College Court,L5B 1M9,ON,43.572542,-79.606440,Central,Centre,6,Peel Public Health,Bureau de santé de la région de Peel,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,,,Yes,No,,Yes,8:30-19:30,8:30-19:30,1y,No,No,,Yes,,,,Yes,,,,,
Yes,17,Credit Valley – Drive-Thru,Hôpital Credit Valley - Drive-Thru,Trillium Health Partners,Trillium Health Partners,Mississauga,2200 Eglinton Avenue West,2200 chemin Eglinton Ouest,L5M 2N1,ON,43.558655,-79.703279,Central,Centre,6,Peel Public Health,Bureau de santé de la région de Peel,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,,,Yes,Yes,Yes,Yes,8:30-19:30,8:30-19:30,1y,Yes,No,,Yes,Drive-through only.,,,Yes,,,,,
Yes,18,Credit Valley Hospital – Valley House,Credit Valley Hospital – Valley House,Trillium Health Partners - Credit Valley Hospital,Trillium Health Partners,Mississauga,2200 Erin Mills Parkway,2200 Erin Mills Parkway,L5M 7S4,ON,43.558255,-79.704256,Central,Centre,6,Peel Public Health,Bureau de santé de la région de Peel,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,8:30-19:30,,,Yes,No,,No,8:30-19:30,8:30-19:30,1y,Yes,No,,Yes,,,,Yes,,,,,
Yes,19,William Osler Health System - Humber College,William Osler Health System - Humber ,William Osler Health System - Etobicoke,William Osler Health System - Etobicoke,Etobicoke,2 Janda Court,2 Janda Court,M9W 0A4,ON,43.723113,-79.601028,Central,Centre,6,Toronto Public Health,Bureau de santé de Toronto,,https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/assessment-centre-for-covid-19,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,No,Yes,Yes,,Yes,8:00-18:00,8:00-18:00,2y,No,No,,Yes,,,,Yes,,,,,
Yes,20,"William Osler Health System - South Fletcher's Sportsplex, Brampton","William Osler Health System - South Fletcher's Sportsplex, Brampton",William Osler Health System,William Osler Health System,Brampton,500 Ray Lawson Boulevard,500 boulevard Ray Lawson,L6W 2Z8,ON,43.652811,-79.735964,Central,Centre,6,Peel Public Health,Bureau de santé de la région de Peel,,https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/assessment-centre-for-covid-19,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,No,Yes,Yes,,Yes,8:00-18:00,8:00-18:00,2y,No,No,,Yes,Signs are posted at entry points. Enter off of McLaughlin Road. ,,,Yes,,,,,
Yes,21,Almonte General Hospital,Hôpital général d'Almonte,Almonte General Hospital,Hôpital général d'Almonte,Almonte,75 Spring Drive,75 chemin Spring,K0A 1A0,ON,45.228961,-76.189452,East,Est,7,"Leeds, Grenville and Lanark District Health Unit",Bureau de santé du district de Leeds,613-325-1208,http://www.almontegeneral.com/assessmentcentre,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,Yes,No,Yes,No,Yes,8:00-18:00,8:00-18:00,2y,No,No,,No,Stay in your car. ,Le centre est au coin de la rue Spring et de la rue State dans le bâtiment en briques derrière le service des urgences de l’Hôpital général d’Almonte. ,,Yes,,,,,
Yes,22,Brockville General Hospital,Hôpital général de Brockville,Brockville General Hospital,Hôpital général de Brockville,Brockville,100 Magedoma Blvd,100 boul. Magedoma,K6V 7J5,ON,44.610024,-75.699937,East,Est,7,"Leeds, Grenville and Lanark District Health Unit",Bureau de santé du district de Leeds,613-704-1441,https://www.brockvillegeneralhospital.ca/en/patient-care/covid-19-coronavirus.aspx#,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,10:00-17:30,,No,Yes,No,Yes,Yes,10:00-14:30,10:00-14:30,0m,No,No,,,,,,Yes,,,10:00-15:30,,
Yes,23,Brewer Park Arena,Brewer Park Arena,The Ottawa Hospital and CHEO,L'Hôpital d'Ottawa et CHEO,Ottawa,151 Brewer Way,151 chemin Brewer Way,K1S 5T1,ON,45.389239,-75.690478,East,Est,8,Ottawa Public Health,Bureau de santé publique d'Ottawa,,https://www.ottawapublichealth.ca/en/public-health-topics/novel-coronavirus.aspx,9:00-15:30,9:00-15:30,9:00-15:30,9:00-15:30,9:00-15:30,,No,Yes,No,Yes,Yes,9:00-15:30,9:00-15:30,6m,Yes,No,,Yes,Follow the signage for parking. Enter from Bronson Avenue.,,,Yes,,,,,
Yes,24,Cornwall COVID-19 Assessment Centre,Cornwall - Centre d’évaluation pour la COVID-19,Cornwall Community Hospital,Hôpital communautaire de Cornwall,Cornwall,850 McConnell Avenue,850 avenue McConnell,K6H 4M3,ON,45.030101,-74.717964,East,Est,9,Eastern Ontario Health Unit,Bureau de santé de l'est de l'Ontario,613-935-7762,https://eohu.ca/en/covid/covid-19-testing-assessment-centres    ,8:30-15:30,8:30-15:30,8:30-15:30,8:30-15:30,8:30-15:30,,Yes,No,No,No,Yes,,,2y,Yes,No,,Yes,"Park in a designated area in the Emergency Lot, arrive at the exact time of your appointment (not earlier), bring only a healthcard and mask, parking is free, wait outside and someone will greet you at the door.",,,Yes,,,,,
Yes,25,Akausivik Inuit Family Health Team - COVID-19 Assessment Centre ,Akausivik Inuit Family Health Team -Centre d'èvaluation de la COVID-19 ,Akausivik Inuit Family Health Team Assessment Centre provides culturally specific services for Inuit (please call first),Akausivik Inuit Family Health Team Assessment Centre provides culturally specific services for Inuit (please call first),Ottawa,"24 Selkirk Street, Suite 300",24 rue Selkirk,K1L 0A4,ON,45.431716,-75.667688,East,Est,8,Ottawa Public Health,Bureau de santé publique d'Ottawa,613-740-0999,https://eohu.ca/en/covid-19-novel-coronavirus,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,,,,,,,,0m,,,,,,,Inuit,,,,,generalinfo@aifht.ca,
Yes,26,Haliburton Highlands Health Services,Haliburton Highlands Health Services,Haliburton Highlands Health Services,Haliburton Highlands Health Services,Haliburton,7217 Gelert Road,7217 chemin Gelert,K0M 1S0,ON,45.039054,-78.528165,East,Est,10,"Haliburton, Kawartha, Pine Ridge District Health Unit",Bureau de santé du district d'Haliburton-Kawartha-Pine Ridge ,"705-457-1212, ext. 6",https://www.haliburtoncares.ca/,9:00-13:00,9:00-13:00,,9:00-13:00,9:00-13:00,,Yes,No,Yes,,Yes,,,2y,No,No,,Yes,"Located in the parking lot of the Haliburton Family Medical Centre. Enter from Haliburton County Road 21, on the roadway beside the high school. Patients under 2 years will be deferred to the Emergency dDepartment. Patients between 2 and 18 will be reviewed with the assessment centre physician before booking an appointment.","Situé dans le stationnement du Haliburton Family Medical Centre. Entrez à partir de la route de comté 21 à Haliburton, sur la voie d’accès derrière l’école secondaire.",,Yes,,,,,
Yes,27,Hawkesbury and District General Hospital  - Children Rehab Clinic,Hawkesbury and District General Hospital  - Children Rehab Clinic,Hawkesbury and District General Hospital ,Hôpital Général de Hawkesbury,Hawkesbury,750 Laurier Street,750 rue Laurier,K6A 3N9,ON,45.603834,-74.598607,East,Est,9,Eastern Ontario Health Unit,Bureau de santé de l'est de l'Ontario,1-800-267-7120 ,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,No,Yes,No,No,Yes,,,2y,Yes,Yes,,No,Vulnerable clients and clients with cancer can get tested before opening times.,,,Yes,,,,,
Yes,28,Casselman COVID-19 Assessment Centre,Casselman - Centre d’évaluation pour la COVID-19,Eastern Ontario Health Unit - Casselman office ,Eastern Ontario Health Unit - Casselman office ,Casselman,872 Principale Street,872 rue Principale,K0A 1M0,ON,45.321488,-75.106032,East,Est,9,Eastern Ontario Health Unit,Bureau de santé de l'est de l'Ontario,1-800-267-7120,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,9:00-15:00,9:00-15:00,9:00-15:00,9:00-15:00,9:00-15:00,,No,Yes,Yes,,Yes,,,1y,Yes,No,,No,,,,Yes,,,Closed ,,
Yes,29,Rockland COVID-19 Assessment Centre,Rockland - Centre d’évaluation pour la COVID-19,Clarence-Rockland Family Health Team Office,Équipe de santé familiale Clarence-Rockland,Rockland,2741 Chamberland Street,2741 Chemin Chamberland,K4K 0B4,ON,45.544511,-75.301242,East,Est,9,Eastern Ontario Health Unit,Bureau de santé de l'est de l'Ontario,1-800-267-7120 ,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,9:00-15:00,9:00-15:00,9:00-15:00,9:00-15:00,9:00-15:00,,Yes,No,,No,,9:00-15:00,,2y,,,,,,,,,,,,,
Yes,30,Hôpital Montfort - Heron Location,Hôpital Montfort - Heron Location,Hôpital Montfort,Hôpital Montfort,Ottawa,1485 Heron Road,1485 chemin Heron,K1V 6A6,ON,45.380420,-75.654826,East,Est,8,Ottawa Public Health,Bureau de santé publique d'Ottawa,613-746-4621,https://hopitalmontfort.com/en/second-covid-19-care-clinic-opening-ottawa-east-thursday,9:00-15:30,9:00-15:30,9:00-15:30,9:00-15:30,9:00-15:30,,,Yes,No,,Yes,,,2y,Yes,No,,Yes,,,,Yes,,,Closed ,,
Yes,31,Kingston - Leon's Centre,,Kingston Health Sciences Centre,Kingston Health Sciences Centre,Kingston,1 Tragically Hip Way,,K7K 0B4,ON,44.233467,-76.479588,East,Est,11,"Kingston, Frontenac and Lennox & Addington Health Unit",Bureau de santé de Kingston,,https://www.kflaph.ca/Modules/News/index.aspx?newsId=ac53feb2-35a4-4a09-bd86-dd7c62755eaa,9:00-16:00,9:00-16:00,9:00-16:00,9:00-16:00,9:00-16:00,,,Yes,No,,Yes,9:00-16:00,9:00-16:00,6m,Yes,No,Yes,Yes,Enter through Gate 2 and look for bright green signs. ,,,,,,,,
Yes,32,Lakeridge Health - Oshawa,Lakeridge Health - Oshawa,Lakeridge Health,Lakeridge Health,Oshawa,1 Hospital Court,1 Hospital Court,L1G 2B9,ON,43.905529,-78.869215,East,Est,12,Durham Region Health Department,Service de santé de la région de Durham,,https://www.lakeridgehealth.on.ca/,8:00-20:00,8:00-20:00,8:00-20:00,8:00-16:00,8:00-16:00,,Yes,No,No,,Yes,,8:00-16:00,0m,Yes,Yes,Yes,Yes,"Please complete the online registration form. Patients will be called or emailed with an appointment time. Yes there is a separate entrance leading into the Hospital, the clinic is located right near that entrance so no other population can access.  Parking is free for the first 30 minutes. We have interpretation services for most languages.  We also have swabbed patients in their cars if it is warranted.",,,,,,,,
Yes,33,Lakeridge Health - Ajax Pickering,Lakeridge Health - Ajax Pickering,Lakeridge Health,Lakeridge Health,Ajax,580 Harwood Avenue South,580 avenue Harwood Sud,L1S 2J4,ON,43.836799,-79.017114,East,Est,12,Durham Region Health Department,Service de santé de la région de Durham,,https://www.lakeridgehealth.on.ca/,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,Yes,No,No,No,Yes,8:00-16:00,,18y,No,No,,Yes,Please complete the online registration form. Patients will be called or emailed with an appointment time. Separate building on hospital property.,,,Yes,,,,,
Yes,34,Lennox and Addington County General Hospital,Hôpital général du comté de Lennox and Addington,Lennox and Addington County General Hospital,Hôpital général du comté de Lennox and Addingtonl,Napanee,310 Bridge Street West,310 rue Bridge Ouest,K7R 2Z4,ON,44.239028,-76.969627,East,Est,11,"Kingston, Frontenac and Lennox & Addington Health Unit",Bureau de santé de Kingston,613-354-8254 ,http://web.lacgh.napanee.on.ca/en/newsroom?newsid=84,9:00-15:00,9:00-15:00,9:00-15:00,9:00-15:00,9:00-15:00,,Yes,Yes,Yes,,Yes,9:00-15:00,9:00-15:00,0m,No,No,,Yes,Appointments are preferred but walk-ins are accepted. Drive-through only. ,,,Yes,,,,,
Yes,35,Akwesasne COVID-19 Assessment Centre,Akwesasne - Centre d’évaluation pour la COVID-19,Mohawk Council of Akwesasne Department of Health ,Mohawk Council of Akwesasne Department of Health ,Akwesasne,31 Hilltop Drive,31 chemin Hilltop,H0M 1A0,QC,44.999832,-74.654378,East,Est,9,Eastern Ontario Health Unit,Bureau de santé de l'est de l'Ontario,613-575-5005 ext. 3704 or 613-575-2331 ext. 3702,http://www.akwesasne.ca/covid-19-novel-coronavirus-information/,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,,Yes,No,Yes,No,Yes,,,2y,,,,,,,Akwesasronon,,,No,,,
Yes,36,North Hastings COVID-19 Assessment Center,North Hastings COVID-19 Assessment Center,Quinte Healthcare Corporation,Quinte Healthcare Corporation,Bancroft,1 Manor Lane,1 Manor Lane,K0L 1C0,ON,45.055092,-77.864208,East,Est,13,Hastings and Prince Edward Counties Health Unit,Bureau de santé des comtès d'Hastings et de Prince Edward,613-332-2825 ext 6222,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,,Yes,No,Yes,,Yes,,,0m,Yes,No,,No,"Follow the signs, drive through into the tent, have those being assessed or tested on the driver's side of the vehicle if possible, park and turn off the car with the windows between the two tables under the tent. Phone or text your phone number to us and we will call you back to book a time. You must have an appointment so we can ensure patient safety, confidentiality and physical distancing. ",,,Yes,,,,,
Yes,37,Perth and Smiths Falls District Hospital - Smiths Falls Site,Hôpital du district de Perth et de Smiths Falls - Smiths Falls Site,Perth and Smiths Falls District Hospital ,Hôpital du district de Perth et de Smiths Falls ,Smiths Falls,60 Cornelia Street West,60 rue Cornelia Ouest,K7A 2H9,ON,44.907454,-76.027508,East,Est,7,"Leeds, Grenville and Lanark District Health Unit","""Leeds, Grenville et Lanark""",613-283-2330 ext. 1401,https://psfdh.on.ca/2020/04/03/community-assessment-centre/,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,8:00-18:00,,Yes,No,,No,,10:00-16:00,10:00-16:00,0m,,,,,Located at the Smiths Falls site of the Perth and Smiths Falls District Hospital at the main entrance on Elmsley Street North. Drive up to the main entrance and stay in your car while an in-car assessment is done.,Situé à l’emplacement de Smiths Falls de l’Hôpital du district de Perth et de Smiths Falls à l’entrée principale sur la rue Elmsley Nord. Les patients conduiront leur véhicule jusqu’à l’entrée principale et y demeureront pendant qu’une évaluation sera réalisée.,,,,,10:00-16:00 ,,
Yes,38,Prince Edward County Community Centre,Centre communautaire Prince Edward County,Prince Edward County Covid-19 Assessment Centre,Centre d'èvaluation de la COVID-19 Prince Edward,Picton,375 Main Street,375 rue Main,K0K 2T0,ON,44.008797,-77.139402,East,Est,13,Hastings and Prince Edward Counties Health Unit,Bureau de santé des comtès d'Hastings et de Prince Edward,613-813-6864,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,Yes,No,Yes,,Yes,,,0m,No,No,,No,You will be directed to drive into the large tent. Stay in your car for the assessment.,On vous dirigera dans la grande tente à bord votre véhicule et vous y resterez pour l’évaluation.,,Yes,,,,,
Yes,39,Queensway Carleton Hospital - D. Aubrey Moodie School,Queensway Carleton Hospital - École D. Aubrey Moodie,Queensway Carleton Hospital,Queensway Carleton Hospital,Ottawa,595 Moodie Drive,595 chemin Moodie,K2H 8A8,ON,45.310814,-75.825601,East,Est,8,Ottawa Public Health,Bureau de santé publique d'Ottawa,,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx,9:00-15:30,9:00-15:30,9:00-15:30,9:00-15:30,9:00-15:30,,,Yes,,No,,,,2y,Yes,,,,,,,,,,9:00-15:30,,
Yes,40,Quinte Healthcare - Quinte Secondary School,Quinte Healthcare - École secondaire Quinte,Quinte Healthcare,Quinte Healthcare,Belleville,45 College St. West,45 rue College Ouest,K8P 2G3,ON,44.175310,-77.393179,East,Est,13,Hastings and Prince Edward Counties Health Unit,Bureau de santé des comtès d'Hastings et de Prince Edward,613-961-5544,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,Yes,No,Yes,,Yes,9:00-17:00,9:00-17:00,0m,Yes,No,,No, Stay in your car.,On vous demandera de rester dans votre voiture.,,Yes,,,,,
Yes,41,Quinte West COVID-19 Assessment Centre,Centre d'èvaluation de la COVID-19 Quinte Ouest,Quinte Healthcare,Quinte Healthcare,Trenton,8 Couch Crescent,8 crescent Couch,K8V 5S6,ON,44.102899,-77.569555,East,Est,13,Hastings and Prince Edward Counties Health Unit,Bureau de santé des comtès d'Hastings et de Prince Edward,613-961-5544,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,,Yes,No,Yes,,Yes,9:00-17:00,9:00-17:00,0m,Yes,No,,No,"Follow the signs, drive through into the tent, have those being assessed or tested on the driver's side of the vehicle if possible, park and turn off the car with the windows between the two tables under the tent. Phone or text your phone number to us and we will call you back to book a time. You must have an appointment so we can ensure patient safety, confidentiality and physical distancing. ",,,Yes,,,,,
